50
1,2,1,A
2,3,2,B
3,4,3,C
4,5,4,Doooo
5,6,5,Daaa
6,7,6,E
7,8,7,F
8,9,8,G
9,10,9,H
10,20,11,I
19,18,12,J
18,17,13,K
17,16,14,L
16,15,15,M
15,14,16,N
14,13,17,O
13,12,18,P
12,11,19,Q
11,21,20,R
21,22,21,S
22,23,22,T
23,24,23,U
24,25,24,V
25,26,25,W
26,27,26,X
27,28,27,Y
28,29,28,Z
29,30,29,SA
30,40,30,SAN
40,39,31,SANJ
39,38,32,SANJA
38,37,33,SANJAN
37,36,34,SANJANA
36,35,35,LA
35,34,36,LAS
34,33,37,LASY
33,32,38,LASYA
32,31,39,MA
31,41,40,MAD
41,42,41,MADH
42,43,42,MADHU
43,44,43,JO
44,45,44,JOS
45,46,45,JOSY
46,47,46,JOSYU
47,48,47,JOSYUL
48,49,48,JOSYULA
49,50,49,KR
1,12,50,KRI
12,2,51,KRIS
3,14,52,KRISH
5,14,53,KRISHN
5,16,54,KRISHNA
16,7,55,AL
7,18,56,ALI
18,9,57,ALIC
9,20,58,ALICE
18,28,62,SH
26,16,61,SHI
24,14,60,SHIV
12,22,59,SHIVA
32,23,67,SHIVAN
34,25,66,SHIVANN
27,35,65,SHIVANNA
37,29,64,AM
42,44,68,AMN
47,45,69,AMNA
48,50,70,PO
11,40,71,POO
10,32,72,POOJ
5,26,73,POOJA
